url,header,description,keywords;
"https://www.cbsnews.com/news/armless-basketball-player-jamarion-styles-makes-his-play-for-another-team/,Armless basketball player makes his play for another team,Jamarion Styles lost his hands and most of his arms due to a rare infection,""football, Darian Willaims, U.S., jamarion styles, florida, armless, Basketball, Eagles Landing Middle School""";
"https://www.cbsnews.com/news/patti-labelle-street-sign-philadelphia-name-wrong-on-honorary-street-signs-2019-07-05/,Philadelphia gets Patti LaBelle's name wrong on street signs,A sign that LaBelle autographed and held during the ceremony had the correct spelling,""patti labelle, Music, philadelphia, street signs""";
"https://www.cbsnews.com/news/nypd-officers-shoplifting-instead-of-arresting-a-woman-accused-of-shoplifting-these-nypd-cops-paid-for-her-groceries/,NYPD cops pay for alleged shoplifter's groceries,""""""This is what cops do. We also enforce the law, but we also help,"""" said one of the officers at a press conference Friday"",""Grocery Store, NYPD, New York City police department, police, whole foods market, shoplifting, arrest, theft, kind, police officer""";
"https://www.cbsnews.com/news/alaska-hit-with-record-high-temperatures-and-wildfires-today-2019-07-05/,Alaska hit with record high temperatures and wildfires,""According to the National Weather Service, the temperature hit 90 degrees at Ted Stevens Anchorage International Airport"",""climate change, ted stevens international airport, wildfires, alaska, weather, anchorage""";
"https://www.cbsnews.com/news/ridgecrest-earthquake-aftershock-recorded-today-2019-07-05/,6.9 magniude earthquake recorded in southern California,The earthquake is just one day after a 6.4 earthquake struck the Ridgecrest area,""los angeles, aftershock, earthquake, Ridgecrest""";
"https://www.cbsnews.com/news/netflix-to-cut-smoking-in-future-original-programming-stranger-things/,Netflix to cut smoking in future original programming,""Anti-smoking group Truth Initiative​ issued a report found that 100% of the episodes in the first two seasons of """"Stranger Things"""" included smoking"",""streaming, Stranger Things, netflix, smoking""";
"https://www.cbsnews.com/news/mackenzie-lueck-university-of-utah-student-body-recovered-salt-lake-city-ayoola-ajayi-2019-07-06/,Body of slain student Mackenzie Lueck recovered in Utah,The body was discovered in a canyon 85 miles north of Salt Lake City,""missing student, Mackenzie Lueck, missing, murder, utah, Ayoola Ajayi, university of utah""";
"https://www.cbsnews.com/news/california-earthquake-7-1-magnitude-strikes-region-aftershocks-expected-ridgecrest-damage-injuries-2019-07-06/,Southern California reeling after another powerful earthquake,""The magnitude 7.1 tremblor caused injuries, sparked fires and closed roadways"",""injuries, southern california, aftershocks, mojave desert, damage, california, earthquake, quake, Ridgecrest""";
"https://www.cbsnews.com/news/blue-bell-licker-lufkin-texas-police-identify-juvenile-who-licked-ice-cream-tub-in-viral-video-2019-07-06/,Police identify juvenile who licked ice cream tub in viral video,""Before she was identified as a juvenile, police said she faced up to 20 years in prison"",""licking, Blue Bell Creameries, lufkin, suspect, video, arrest, ice cream, viral video, lufkin texas, woman""";
"https://www.cbsnews.com/news/alaska-heat-wave-sets-record-breaking-temperatures-wildfires-anchorage-2019-07-06/,Alaska heat wave sets record-breaking temperatures,""According to the National Weather Service, the temperature hit 90 degrees at Ted Stevens Anchorage International Airport"",""climate change, ted stevens international airport, wildfires, heat wave, alaska, weather, heat, anchorage""";
"https://www.cbsnews.com/news/the-dish-luke-holden-shares-his-signature-recipes/,The Dish: Luke Holden shares his signature recipes,Including a fisherman's lobster boil and clam chowder,""lobster, maine, the dish, luke&#039";"s lobster, seafood, clam chowder, food, luke holden, new york"""
"https://www.cbsnews.com/news/trump-golf-clubs-immigrant-workers-fired-seek-white-house-meeting-2019-07-06/,Immigrants fired from Trump clubs seek White House meeting,The 21 workers fired earlier this year from five clubs asked their former employer to remember all their hard work,""immigration, maids, Donald Trump, Trump national golf club, workers, white house""";
"https://www.cbsnews.com/news/kawhi-leonard-los-angeles-clippers-paul-george-reportedly-joining-nba-team-2019-07-06/,""Kawhi Leonard, Paul George reportedly joining Los Angeles Clippers"",""Leonard averaged 26.6 points, 7.3 rebounds and 3.3 assists last season"",""Kawhi Leonard, Paul George, los angeles clippers, NBA, Oklahoma City Thunder, Toronto Raptors""";
"https://www.cbsnews.com/news/demand-free-speech-rally-today-draws-extremely-heavy-police-presence-freedom-plaza-washington-dc-2019-07-06/,""Heavy police presence in Washington for """"free speech"""" rally"",Conservative and controversial names like Milo Yiannopoulos​ and former Trump campaign adviser Roger Stone​ will reportedly attend,""demonstration, demand free speech rally, right wing, Milo Yiannopoulos, washington, roger stone, speech, freedom rally, freedom of speech""";
"https://www.cbsnews.com/news/unr-explosion-dorm-university-of-nevada-reno-major-damage-reported-2019-07-06/,8 injured after utility explosion at Nevada college,Eight people were injured. Six were treated on scene and two were transported to a nearby hospital,""Reno, injuries, UNR, dorm, utilities explosion, explosion, university of nevada""";
